##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	gruppe3_1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363700503
Total Bases	54.5 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.7707675042726	30.0	30.0	30.0	30.0	30.0
2	29.805309716604928	30.0	30.0	30.0	30.0	30.0
3	29.836867539333593	30.0	30.0	30.0	30.0	30.0
4	29.864797041537223	30.0	30.0	30.0	30.0	30.0
5	29.86969331191714	30.0	30.0	30.0	30.0	30.0
6	29.880652273939802	30.0	30.0	30.0	30.0	30.0
7	29.884807434539074	30.0	30.0	30.0	30.0	30.0
8	29.871843251203863	30.0	30.0	30.0	30.0	30.0
9	29.886611842271773	30.0	30.0	30.0	30.0	30.0
10-14	29.885767621278216	30.0	30.0	30.0	30.0	30.0
15-19	29.879432204139675	30.0	30.0	30.0	30.0	30.0
20-24	29.8651919147882	30.0	30.0	30.0	30.0	30.0
25-29	29.80850541963644	30.0	30.0	30.0	30.0	30.0
30-34	29.781856180715817	30.0	30.0	30.0	30.0	30.0
35-39	29.747682973647137	30.0	30.0	30.0	30.0	30.0
40-44	29.723423466367876	30.0	30.0	30.0	30.0	30.0
45-49	29.701831390098466	30.0	30.0	30.0	30.0	30.0
50-54	29.68212809922894	30.0	30.0	30.0	30.0	30.0
55-59	29.662138011395605	30.0	30.0	30.0	30.0	30.0
60-64	29.641091836488336	30.0	30.0	30.0	30.0	30.0
65-69	29.614385685905965	30.0	30.0	30.0	30.0	30.0
70-74	29.603112486209568	30.0	30.0	30.0	30.0	30.0
75-79	29.569923750146692	30.0	30.0	30.0	30.0	30.0
80-84	29.549234683901442	30.0	30.0	30.0	30.0	30.0
85-89	29.5253596886007	30.0	30.0	30.0	30.0	30.0
90-94	29.49457846089369	30.0	30.0	30.0	30.0	30.0
95-99	29.4742534089924	30.0	30.0	30.0	30.0	30.0
100-104	29.455652657703364	30.0	30.0	30.0	30.0	30.0
105-109	29.426851755000182	30.0	30.0	30.0	30.0	30.0
110-114	29.40765238809692	30.0	30.0	30.0	30.0	30.0
115-119	29.37537487760912	30.0	30.0	30.0	30.0	30.0
120-124	29.360241478687207	30.0	30.0	30.0	30.0	30.0
125-129	29.330353299511387	30.0	30.0	30.0	30.0	30.0
130-134	29.294057513030168	30.0	30.0	30.0	30.0	30.0
135-139	29.30693401983005	30.0	30.0	30.0	30.0	30.0
140-144	29.26797306903917	30.0	30.0	30.0	30.0	30.0
145-149	29.278199265509404	30.0	30.0	30.0	30.0	30.0
150	29.352184684770698	30.0	30.0	30.0	30.0	30.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.002576015287946376
1101	2	0.014259550749866179
1101	3	-0.0016644359244288864
1101	4	-0.004627725969893248
1101	5	0.018323329596199756
1101	6	0.012433699855090907
1101	7	0.010952865366647302
1101	8	-0.1607655662763392
1101	9	0.007291637078843394
1101	10-14	-6.410366267175505E-4
1101	15-19	-0.034698993283516444
1101	20-24	-0.029019811747982516
1101	25-29	-0.059238917057346185
1101	30-34	-0.009765260821893662
1101	35-39	-0.013855513055414548
1101	40-44	-0.006153893755232787
1101	45-49	-0.0479974308025497
1101	50-54	-0.011716103889359175
1101	55-59	-0.029722475862012487
1101	60-64	-0.053745630136457834
1101	65-69	-0.06433839542152242
1101	70-74	-0.019544102077944103
1101	75-79	-0.017681615740126944
1101	80-84	-0.029461516556320788
1101	85-89	-0.04163689840735074
1101	90-94	-0.0291440014628499
1101	95-99	-0.05944345487479197
1101	100-104	-0.0517455192489642
1101	105-109	-0.02961474585370638
1101	110-114	-0.036722746351983915
1101	115-119	-0.021879735057567018
1101	120-124	-0.03770136890263487
1101	125-129	-0.017891705605102004
1101	130-134	-0.029165017425370365
1101	135-139	-0.02705438540494498
1101	140-144	0.007415418295813936
1101	145-149	-0.039865241966626996
1101	150	-0.010008838006207554
1102	1	-0.01447539000178466
1102	2	-0.0017827055395578384
1102	3	-0.004724327113986959
1102	4	-0.02427052353211323
1102	5	0.003875160509572595
1102	6	-0.007421052350910173
1102	7	0.0027273896781210283
1102	8	-0.006733258697035893
1102	9	-0.003470930436044739
1102	10-14	-0.04402346796539902
1102	15-19	-0.006129572483231982
1102	20-24	-0.0431345149728628
1102	25-29	-0.028369968569450066
1102	30-34	-0.032745501638260066
1102	35-39	-0.02638492589188246
1102	40-44	-0.030749566800967187
1102	45-49	-0.04285605614109045
1102	50-54	-0.07384501447708658
1102	55-59	-0.0595682642888562
1102	60-64	-0.033431960192821464
1102	65-69	-0.11405925204858391
1102	70-74	-0.037718961306428156
1102	75-79	-0.06565531132027047
1102	80-84	-0.048600313666320005
1102	85-89	-0.07485804983038591
1102	90-94	-0.11086933732740079
1102	95-99	-0.17744616924506929
1102	100-104	-0.0695102708333053
1102	105-109	-0.0820106862777159
1102	110-114	-0.09263088939110986
1102	115-119	-0.08751106422437616
1102	120-124	-0.0781205549161399
1102	125-129	-0.06150441556908248
1102	130-134	-0.07574034410852803
1102	135-139	-0.10030307172766584
1102	140-144	-0.06824470837580066
1102	145-149	-0.08052776510824344
1102	150	-0.023622858168337757
1103	1	-0.0031913947314734514
1103	2	-0.006083065327008086
1103	3	-0.02038873944090014
1103	4	-0.006716839455389589
1103	5	-0.0071413252986438636
1103	6	-0.0013176790332103394
1103	7	-0.015159006806751307
1103	8	-0.015853807649843787
1103	9	0.0015012912672425216
1103	10-14	-0.010510273909787315
1103	15-19	-0.012704607542382007
