##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	gruppe3_2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	363700503
Total Bases	54.5 Gbp
Sequences flagged as poor quality	0
Sequence length	150
%GC	41
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	29.737167704714448	30.0	30.0	30.0	30.0	30.0
2	29.756913418401293	30.0	30.0	30.0	30.0	30.0
3	29.767424011508723	30.0	30.0	30.0	30.0	30.0
4	29.772192121493987	30.0	30.0	30.0	30.0	30.0
5	29.76983183880832	30.0	30.0	30.0	30.0	30.0
6	29.705260963029243	30.0	30.0	30.0	30.0	30.0
7	29.69339700363296	30.0	30.0	30.0	30.0	30.0
8	29.67756615942871	30.0	30.0	30.0	30.0	30.0
9	29.68013797880285	30.0	30.0	30.0	30.0	30.0
10-14	29.66135375347556	30.0	30.0	30.0	30.0	30.0
15-19	29.629431857013408	30.0	30.0	30.0	30.0	30.0
20-24	29.595357552200035	30.0	30.0	30.0	30.0	30.0
25-29	29.54713545612006	30.0	30.0	30.0	30.0	30.0
30-34	29.491719175323773	30.0	30.0	30.0	30.0	30.0
35-39	29.460741484869494	30.0	30.0	30.0	30.0	30.0
40-44	29.42703240748611	30.0	30.0	30.0	30.0	30.0
45-49	29.38032818722827	30.0	30.0	30.0	30.0	30.0
50-54	29.369384069837263	30.0	30.0	30.0	30.0	30.0
55-59	29.324540490943452	30.0	30.0	30.0	30.0	30.0
60-64	29.27236578498766	30.0	30.0	30.0	30.0	30.0
65-69	29.256863649704655	30.0	30.0	30.0	30.0	30.0
70-74	29.191168157939007	30.0	30.0	30.0	30.0	30.0
75-79	29.169940528787226	30.0	30.0	30.0	30.0	30.0
80-84	29.08774170928216	30.0	30.0	30.0	30.0	30.0
85-89	29.021053918641407	30.0	30.0	30.0	30.0	30.0
90-94	28.986486646129272	30.0	30.0	30.0	30.0	30.0
95-99	28.95487450893077	30.0	30.0	30.0	30.0	30.0
100-104	28.88432895238531	30.0	30.0	30.0	30.0	30.0
105-109	28.800158440253796	30.0	30.0	30.0	30.0	30.0
110-114	28.731783982162927	30.0	30.0	30.0	30.0	30.0
115-119	28.757746811804658	30.0	30.0	30.0	30.0	30.0
120-124	28.694275995543514	30.0	30.0	30.0	30.0	30.0
125-129	28.660851502314255	30.0	30.0	30.0	30.0	30.0
130-134	28.644089644275255	30.0	30.0	30.0	30.0	30.0
135-139	28.565472106042154	30.0	30.0	30.0	30.0	30.0
140-144	28.602821122851186	30.0	30.0	30.0	30.0	30.0
145-149	28.48463303884955	30.0	30.0	30.0	28.0	30.0
150	28.635998801464403	30.0	30.0	30.0	30.0	30.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	-0.007033419543219566
1101	2	-0.03535872095676851
1101	3	-0.03254611966992371
1101	4	-0.014102797886767604
1101	5	-0.018892870937403217
1101	6	-0.028883721802870355
1101	7	-0.03360737967590666
1101	8	-0.004020350918022331
1101	9	-0.05157076506931446
1101	10-14	-0.018613605612156192
1101	15-19	-0.029304653735831465
1101	20-24	-0.02635038939857992
1101	25-29	-0.02295681950167605
1101	30-34	-0.04313577153413206
1101	35-39	-0.00405039942502583
1101	40-44	-0.04473683814912022
1101	45-49	-0.02213821404668792
1101	50-54	-0.01946330739189861
1101	55-59	-0.011905837690260768
1101	60-64	-0.009736527218496605
1101	65-69	0.0016098941472506567
1101	70-74	-0.01840347377148177
1101	75-79	-0.004247382018025547
1101	80-84	-0.02832746701183808
1101	85-89	-0.02738493924408303
1101	90-94	0.03739156760293838
1101	95-99	0.020806847205388834
1101	100-104	0.010647840884605131
1101	105-109	-0.04158277023442025
1101	110-114	-0.013465420055190691
1101	115-119	0.02077521461628251
1101	120-124	0.030185949452487648
1101	125-129	0.03517806635915122
1101	130-134	0.05267499396833131
1101	135-139	0.10909041411032305
1101	140-144	0.06770708427691119
1101	145-149	0.06960381863264331
1101	150	0.11679009945952146
1102	1	-0.029164125766818927
1102	2	-0.041585500905434
1102	3	-0.02336866117844849
1102	4	-0.04760553254802247
1102	5	-0.03875100024654898
1102	6	-0.03720672649549428
1102	7	-0.029909751969661613
1102	8	-0.07131657247502687
1102	9	-0.0538233951690863
1102	10-14	-0.0443163047443349
1102	15-19	-0.07095553264916177
1102	20-24	-0.05207729547709761
1102	25-29	-0.10194258535663892
1102	30-34	-0.062083399030488096
1102	35-39	-0.06141217431256507
1102	40-44	-0.04304097448720867
1102	45-49	-0.052628320282604335
1102	50-54	-0.04790787156269616
1102	55-59	-0.04893394110974825
1102	60-64	-0.0651172201218877
1102	65-69	-0.048308724060902364
1102	70-74	-0.07393061207838159
1102	75-79	-0.053807656667814285
1102	80-84	-0.08509700609302939
1102	85-89	-0.043868145236519496
1102	90-94	-0.03885995721556412
1102	95-99	-0.005196041368712656
1102	100-104	-0.04258966908373196
1102	105-109	-0.12341264250869699
1102	110-114	-0.11042793628414671
1102	115-119	-0.05691031070654162
1102	120-124	-0.04193350585802591
1102	125-129	-0.04277393775501892
1102	130-134	-0.018707469351081585
1102	135-139	0.0029175082418930742
1102	140-144	-0.02496753243008243
1102	145-149	-0.04534359405015209
1102	150	-0.037617349013341794
1103	1	-0.0338786327681575
1103	2	-0.04802486693269614
1103	3	-0.047446874258618266
1103	4	-0.04329237592069646
1103	5	-0.03630955483120246
1103	6	-0.029360605176741217
1103	7	-0.032760404467687465
1103	8	-0.1441032048762736
1103	9	-0.026353324645253196
1103	10-14	-0.040962174295540166
1103	15-19	-0.068789926381438
1103	20-24	-0.03924908630730428
1103	25-29	-0.10323648701506016
1103	30-34	-0.036536761128051154
1103	35-39	-0.034664599335098245
1103	40-44	-0.02137288842629559
1103	45-49	-0.03301768635973801
1103	50-54	-0.018784350659533544
1103	55-59	-0.05092697190107387
1103	60-64	-0.061565137801277814
1103	65-69	-0.040013926725478655
1103	70-74	-0.02490059021565827
1103	75-79	-0.020412377165403228
1103	80-84	-0.02580060604467249
1103	85-89	-0.028231530512190517
1103	90-94	0.014831435244364144
1103	95-99	0.04470207894325995
1103	100-104	0.007168728438674776
1103	105-109	-0.10307706021003682
1103	110-114	-0.11648109656106342
1103	115-119	-0.02564545980184363
1103	120-124	-0.0025569627668176054
1103	125-129	-0.0020646462022035905
1103	130-134	0.02023475314758727
1103	135-139	-0.009611283375480895
1103	140-144	-0.016055615397039702
1103	145-149	-0.011190332165995187
1103	150	0.015076374584566565
1104	1	-0.04636968811598052
1104	2	-0.021838485247318573
1104	3	-0.057845307173302274
1104	4	-0.03556583876030217
1104	5	-0.017781761761671788
1104	6	-0.03762259178120786
1104	7	-0.024789465744163408
1104	8	-0.11139425956701032
1104	9	-0.041125564886513644
1104	10-14	-0.02253526201439726
1104	15-19	-0.046689844104196965
1104	20-24	-0.023055521981337534
1104	25-29	-0.034289336556238226
1104	30-34	-0.03587565681102234
1104	35-39	-0.015022858628437774
1104	40-44	-0.010928852971954228
1104	45-49	-0.034352665966089546
1104	50-54	-0.027055930870595546
1104	55-59	-0.05118748789144334
1104	60-64	-0.02996374973031024
1104	65-69	-0.042027941694239956
1104	70-74	-0.03480858495353445
1104	75-79	-0.023645321780069395
1104	80-84	-0.006461714305316946
1104	85-89	0.005698046790641342
1104	90-94	0.037769591833605176
1104	95-99	0.04675544347353977
1104	100-104	0.012281731243245275
1104	105-109	-0.07231593602979558
1104	110-114	-0.05259936204460658
1104	115-119	-0.029586464348863473
1104	120-124	-0.006252106076424013
1104	125-129	-0.0014277420600024016
1104	130-134	0.011659036037155346
1104	135-139	0.03401884155952217
1104	140-144	0.021516394620544332
1104	145-149	0.022158679038227547
1104	150	0.03227508744687668
1105	1	-0.038401249197132614
1105	2	-0.05095326518427967
1105	3	-0.10689272935453431
1105	4	-0.04235448829638244
1105	5	-0.07946443698297401
1105	6	-0.027989533897795127
1105	7	-0.02474481535653794
1105	8	-0.03746226954999443
1105	9	-0.0406445033156011
1105	10-14	-0.06219808413178285
1105	15-19	-0.10799105180439739
1105	20-24	-0.045049172115586344
1105	25-29	-0.0880779537184182
1105	30-34	-0.0628067562828889
1105	35-39	-0.07041408553119766
1105	40-44	-0.047516438719927834
1105	45-49	-0.042447527063991686
1105	50-54	-0.047149168608168424
1105	55-59	-0.08147588113815729
1105	60-64	-0.059383222071723196
1105	65-69	-0.04563564320720914
1105	70-74	-0.05835756102881717
1105	75-79	-0.03902499810531879
1105	80-84	-0.04098068102493713
1105	85-89	-0.028404745292093025
1105	90-94	-0.024328181488719736
1105	95-99	-0.01533191719973459
1105	100-104	-0.03644869159280262
1105	105-109	-0.13461442319838923
1105	110-114	-0.12069427090583673
1105	115-119	-0.059845758644257785
1105	120-124	-0.0337118835972916
1105	125-129	-0.029711830972800612
1105	130-134	-0.039655267240075176
1105	135-139	-0.009376505958204717
1105	140-144	0.006615061863520566
1105	145-149	-0.009416596442907377
1105	150	-0.026515835669616905
1106	1	-0.017133447716684458
1106	2	-0.025353430254735798
1106	3	-0.018868398604517722
1106	4	-0.03148958352426234
1106	5	-0.045350393382712184
1106	6	-0.042914825781142696
1106	7	-0.038357737289192784
1106	8	-0.018045233350672873
1106	9	-0.011665969101766649
1106	10-14	-0.04674574787014407
1106	15-19	-0.04745712870437302
1106	20-24	-0.025581874787462766
1106	25-29	-0.037832884811312084
1106	30-34	-0.03898612973514304
1106	35-39	-0.027890848030306614
1106	40-44	-0.00670607779430199
1106	45-49	-0.032478697272079415
1106	50-54	-0.022573326941042637
1106	55-59	-0.009446303355659325
1106	60-64	-0.02962938162867701
1106	65-69	-0.007421288080738719
1106	70-74	-0.008233554120472775
1106	75-79	3.3989720127181045E-4
1106	80-84	0.0034493008128038127
1106	85-89	0.009595127672064052
1106	90-94	0.019324343950735567
1106	95-99	0.03566446188790451
1106	100-104	0.01255317407811063
1106	105-109	-0.08955879336826911
1106	110-114	-0.07259124046352738
1106	115-119	-0.019636863956730366
1106	120-124	-0.016061371331975494
1106	125-129	0.008990890824225772
1106	130-134	0.012243082104905767
1106	135-139	0.02128621412287046
1106	140-144	0.03840570310064706
1106	145-149	0.022888789477619298
1106	150	0.061929226096989254
1107	1	-0.029909990277076304
1107	2	-0.02907699933827601
1107	3	-0.024912137103555665
1107	4	-0.03588178686240795
1107	5	-0.020845204512042415
1107	6	-0.04532094966809197
1107	7	-0.02706433529205654
1107	8	-0.019366807568900413
1107	9	-0.023428489424503596
1107	10-14	-0.026450572264462124
1107	15-19	-0.04219535140509478
1107	20-24	-0.023882221825715533
1107	25-29	-0.045913593287284726
1107	30-34	-0.05169086005724566
1107	35-39	-0.026316724007589443
1107	40-44	-0.019014809552611922
1107	45-49	-0.04223038739823082
1107	50-54	-0.034476252038853517
1107	55-59	-0.032369966698482244
1107	60-64	-0.02144362563087654
1107	65-69	-0.008793404730809584
1107	70-74	-0.018111552221121485
1107	75-79	-0.004904757352615974
1107	80-84	0.003313568246195331
1107	85-89	0.006230034501154336
1107	90-94	0.03889676304830303
1107	95-99	0.03607373077981535
1107	100-104	-5.486244782808569E-4
1107	105-109	-0.07582502934279489
1107	110-114	-0.054492598804745995
1107	115-119	-0.017763884287688825
1107	120-124	0.006703657404813157
1107	125-129	-0.005300466839514684
1107	130-134	-0.00570877817969162
1107	135-139	0.010804384691009972
1107	140-144	0.022107481907220006
1107	145-149	0.038012330740382794
1107	150	0.010182399397105968
1108	1	-0.04282252114408536
1108	2	-0.03031426462044351
1108	3	-0.03673039570814396
1108	4	-0.046845478036161126
1108	5	-0.0333112053147957
1108	6	-0.06229427549759947
1108	7	-0.04738259127809741
1108	8	-0.0557762868841607
1108	9	-0.048206876093690454
1108	10-14	-0.05089186818125668
1108	15-19	-0.0553230271108589
1108	20-24	-0.04568300529613367
1108	25-29	-0.045931820415550106
1108	30-34	-0.07288580351467644
1108	35-39	-0.042118347025699165
1108	40-44	-0.04330969020510622
1108	45-49	-0.041570366882218934
1108	50-54	-0.04597803997195271
1108	55-59	-0.05534958282429869
1108	60-64	-0.03781228778101564
1108	65-69	-0.04386843292722631
1108	70-74	-0.05662620207320046
